station,date,rainfall_mm,relative_humidity_percent,wind_ms,wet_bulb_c,evaporation_mm,cloud_cover_oktas,pressure_hpa,year,month_num
KUCHING,2016-08-31,7.8,77.8,1.8,25.2,5.3,7.0,1010.9791666666666,2016,8
KUCHING,2016-09-01,0.6,85.5,2.4,24.7,1.8,7.0,1011.075,2016,9
KUCHING,2016-09-02,0.6,83.8,1.9,23.8,2.4,7.0,1010.9041666666668,2016,9
KUCHING,2016-09-03,41.2,82.9,1.5,23.5,6.5,7.0,1010.3958333333334,2016,9
KUCHING,2016-09-04,9.2,83.2,1.3,24.2,3.5,7.0,1011.0,2016,9
KUCHING,2016-09-05,6.0,81.9,1.9,24.3,4.0,6.8,1011.0458333333332,2016,9
KUCHING,2016-09-06,24.6,86.2,1.9,24.2,3.8,7.0,1011.5333333333332,2016,9
KUCHING,2016-09-07,24.6,84.3,2.1,24.2,5.8,7.0,1010.6875,2016,9
KUCHING,2016-09-08,2.8,89.3,1.6,24.2,1.9,7.0,1011.8916666666668,2016,9
KUCHING,2016-09-09,18.4,84.3,1.7,24.4,3.8,7.0,1011.8416666666668,2016,9
KUCHING,2016-09-10,2.6,82.5,1.7,24.0,3.1,7.0,1010.2458333333332,2016,9
KUCHING,2016-09-11,9.6,81.9,1.7,23.8,3.8,6.9,1008.6916666666668,2016,9
KUCHING,2016-09-12,0.0,83.7,1.4,25.1,2.7,7.0,1009.1291666666668,2016,9
KUCHING,2016-09-13,0.0,74.0,1.7,25.1,5.5,7.0,1009.6125,2016,9
KUCHING,2016-09-14,20.8,79.4,1.9,25.3,4.1,7.0,1009.8333333333334,2016,9
KUCHING,2016-09-15,13.2,81.7,1.9,24.6,4.9,7.0,1009.975,2016,9
KUCHING,2016-09-16,13.0,83.9,1.7,23.9,5.1,7.0,1009.5958333333332,2016,9
KUCHING,2016-09-17,0.0,74.2,2.3,24.5,5.8,7.0,1009.2916666666666,2016,9
KUCHING,2016-09-18,1.6,74.4,2.0,24.7,5.3,7.0,1009.3916666666668,2016,9
KUCHING,2016-09-19,31.8,85.0,2.0,24.3,5.6,7.0,1009.0875,2016,9
KUCHING,2016-09-20,16.6,84.0,2.3,24.2,5.9,7.0,1009.0041666666668,2016,9
KUCHING,2016-09-21,2.6,84.8,1.8,24.0,2.4,7.0,1010.75,2016,9
KUCHING,2016-09-22,7.0,77.9,2.3,24.4,3.8,7.0,1010.3916666666668,2016,9
KUCHING,2016-09-23,7.2,87.9,1.7,23.9,3.5,7.0,1010.0166666666668,2016,9
KUCHING,2016-09-24,0.0,80.0,1.8,24.0,4.0,7.0,1008.4833333333332,2016,9
KUCHING,2016-09-25,31.2,80.0,1.7,24.1,6.2,6.9,1008.5541666666668,2016,9
KUCHING,2016-09-26,2.4,84.0,1.9,23.9,4.1,7.0,1009.4833333333332,2016,9
KUCHING,2016-09-27,3.0,77.3,2.3,24.3,5.4,7.0,1009.5375,2016,9
KUCHING,2016-09-28,0.2,81.6,1.5,23.9,5.6,7.0,1009.3625,2016,9
KUCHING,2016-09-29,1.6,74.5,1.7,24.3,5.1,6.9,1008.9916666666668,2016,9
KUCHING,2016-09-30,12.2,78.8,1.7,24.9,5.3,7.0,1009.2458333333332,2016,9
KUCHING,2016-10-01,4.1,81.8,2.1,24.3,3.9,7.0,1009.9916666666668,2016,10
KUCHING,2016-10-02,0.4,82.3,2.0,24.0,3.8,7.0,1010.575,2016,10
KUCHING,2016-10-03,4.4,81.4,1.7,24.5,4.4,7.0,1009.4041666666668,2016,10
KUCHING,2016-10-04,3.2,82.8,1.7,24.8,4.2,7.0,1009.0416666666666,2016,10
KUCHING,2016-10-05,4.4,80.0,1.7,24.4,4.5,7.0,1008.8583333333332,2016,10
KUCHING,2016-10-06,25.4,85.9,1.5,23.9,5.0,7.0,1009.975,2016,10
KUCHING,2016-10-07,3.2,85.4,2.3,24.0,3.5,7.1,1010.8083333333332,2016,10
KUCHING,2016-10-08,13.0,82.5,2.4,24.3,4.8,7.0,1011.1291666666668,2016,10
KUCHING,2016-10-09,2.0,86.2,1.2,24.7,1.5,7.1,1011.2791666666668,2016,10
KUCHING,2016-10-10,0.0,76.3,1.8,25.2,5.1,7.0,1009.6875,2016,10
KUCHING,2016-10-11,4.0,76.8,1.8,25.1,5.2,7.0,1009.0125,2016,10
KUCHING,2016-10-12,0.8,79.5,2.0,24.9,6.2,7.0,1008.6416666666668,2016,10
KUCHING,2016-10-13,0.6,86.2,1.5,24.3,2.8,7.0,1008.5041666666668,2016,10
KUCHING,2016-10-14,2.6,86.4,1.4,24.7,3.8,7.0,1008.5666666666668,2016,10
KUCHING,2016-10-15,0.0,84.7,2.0,25.3,2.4,7.0,1008.9166666666666,2016,10
KUCHING,2016-10-16,0.6,82.0,2.1,25.1,3.1,7.0,1008.5916666666668,2016,10
KUCHING,2016-10-17,10.4,87.0,2.1,24.6,5.3,7.0,1008.2166666666668,2016,10
KUCHING,2016-10-18,0.4,89.4,1.5,24.8,2.4,7.0,1008.4916666666668,2016,10
KUCHING,2016-10-19,7.0,84.7,1.8,25.3,4.9,7.0,1007.5375,2016,10
KUCHING,2016-10-20,16.0,89.6,1.5,24.9,2.8,7.0,1007.9083333333332,2016,10
KUCHING,2016-10-21,1.8,84.2,1.2,25.2,2.9,7.0,1008.9541666666668,2016,10
KUCHING,2016-10-22,13.2,80.0,1.4,24.9,5.5,7.0,1009.5583333333332,2016,10
KUCHING,2016-10-23,9.6,84.0,1.8,24.0,5.9,7.0,1010.525,2016,10
KUCHING,2016-10-24,4.1,85.0,1.5,23.5,2.3,7.0,1009.9166666666666,2016,10
KUCHING,2016-10-25,0.0,83.8,1.5,23.8,3.2,7.0,1010.0458333333332,2016,10
KUCHING,2016-10-26,4.1,82.6,1.8,24.3,3.0,7.0,1010.5083333333332,2016,10
KUCHING,2016-10-27,87.6,82.3,1.8,24.4,3.3,7.1,1011.1583333333332,2016,10
KUCHING,2016-10-28,1.2,85.8,1.5,24.1,2.9,7.1,1010.5166666666668,2016,10
KUCHING,2016-10-29,2.6,85.7,1.1,24.4,1.8,7.0,1009.6958333333332,2016,10
KUCHING,2016-10-30,24.8,89.5,1.3,24.1,2.8,7.0,1010.3,2016,10
KUCHING,2016-10-31,66.6,88.0,1.5,23.9,2.5,7.0,1010.7791666666668,2016,10
KUCHING,2016-11-01,13.2,85.0,1.7,23.8,3.3,7.0,1010.0458333333332,2016,11
KUCHING,2016-11-02,1.2,84.8,1.8,24.4,3.5,7.0,1009.675,2016,11
KUCHING,2016-11-03,5.2,85.0,1.3,24.6,2.1,7.0,1009.0708333333332,2016,11
KUCHING,2016-11-04,26.8,85.6,1.7,24.6,6.0,7.0,1009.0333333333332,2016,11
KUCHING,2016-11-05,2.2,81.4,1.9,24.7,4.0,7.0,1009.2,2016,11
KUCHING,2016-11-06,0.4,83.3,2.1,24.7,3.7,7.0,1010.5041666666668,2016,11
KUCHING,2016-11-07,0.0,82.3,1.9,25.4,2.4,7.0,1011.3958333333334,2016,11
KUCHING,2016-11-08,24.6,84.2,1.6,25.3,4.0,7.0,1011.3625,2016,11
KUCHING,2016-11-09,1.4,85.2,1.7,24.8,2.2,7.0,1011.7541666666668,2016,11
KUCHING,2016-11-10,20.8,89.8,1.8,24.6,2.1,7.0,1011.7291666666666,2016,11
KUCHING,2016-11-11,45.0,87.3,1.4,24.4,3.8,7.0,1010.8791666666668,2016,11
KUCHING,2016-11-12,3.0,81.5,1.6,24.4,3.2,7.0,1010.4791666666666,2016,11
KUCHING,2016-11-13,5.2,84.0,1.3,24.8,2.2,7.0,1010.3541666666666,2016,11
KUCHING,2016-11-14,17.4,83.0,1.9,24.3,3.1,7.0,1009.9208333333332,2016,11
KUCHING,2016-11-15,8.8,83.7,2.2,24.2,5.0,7.0,1009.5708333333332,2016,11
KUCHING,2016-11-16,46.6,88.3,1.6,24.0,4.6,7.0,1009.8875,2016,11
KUCHING,2016-11-17,4.2,84.1,1.4,24.6,3.7,7.0,1008.9166666666666,2016,11
KUCHING,2016-11-18,0.8,80.7,1.9,24.8,3.4,7.0,1007.9625,2016,11
KUCHING,2016-11-19,4.0,85.4,1.5,24.8,2.0,7.0,1007.9708333333332,2016,11
KUCHING,2016-11-20,12.8,84.0,1.7,24.5,5.4,7.0,1007.7333333333332,2016,11
KUCHING,2016-11-21,8.2,85.7,2.1,24.9,4.5,7.0,1008.1625,2016,11
KUCHING,2016-11-22,5.2,85.3,1.8,24.6,3.6,7.0,1008.95,2016,11
KUCHING,2016-11-23,14.8,86.0,1.7,24.5,4.4,7.0,1009.0541666666668,2016,11
KUCHING,2016-11-24,2.8,86.8,1.8,24.0,2.6,7.0,1008.875,2016,11
KUCHING,2016-11-25,1.4,81.0,2.0,24.6,2.7,7.0,1008.0583333333332,2016,11
KUCHING,2016-11-26,32.4,81.3,1.4,25.2,3.4,7.0,1007.9208333333332,2016,11
KUCHING,2016-11-27,15.2,92.4,1.2,24.7,1.4,7.0,1008.9041666666668,2016,11
KUCHING,2016-11-28,6.0,85.5,1.6,24.9,3.7,7.0,1009.5541666666668,2016,11
KUCHING,2016-11-29,48.0,86.1,2.1,24.7,4.2,7.0,1010.1875,2016,11
KUCHING,2016-11-30,17.0,88.3,2.1,24.2,2.9,7.0,1011.1375,2016,11
KUCHING,2016-12-01,1.2,84.6,1.6,24.6,2.9,7.0,1010.1208333333332,2016,12
KUCHING,2016-12-02,0.0,83.3,2.3,24.5,3.0,7.0,1010.1,2016,12
KUCHING,2016-12-03,0.0,81.0,1.9,24.7,3.5,7.0,1010.1083333333332,2016,12
KUCHING,2016-12-04,14.6,86.0,1.7,24.0,4.6,7.0,1010.1416666666668,2016,12
KUCHING,2016-12-05,0.0,80.7,1.2,24.8,3.6,7.0,1009.6458333333334,2016,12
KUCHING,2016-12-06,0.0,80.1,1.6,25.3,2.6,7.0,1009.0916666666668,2016,12
KUCHING,2016-12-07,0.6,84.4,1.4,25.3,2.5,7.0,1008.1666666666666,2016,12
KUCHING,2016-12-08,1.8,79.8,2.3,25.4,4.3,7.0,1006.8625,2016,12
KUCHING,2016-12-09,1.8,85.7,2.2,24.9,2.3,7.0,1007.0875,2016,12
KUCHING,2016-12-10,9.0,88.0,2.0,24.0,2.8,7.2,1008.3333333333334,2016,12
KUCHING,2016-12-11,21.6,89.6,2.1,23.6,4.0,7.2,1009.3208333333332,2016,12
KUCHING,2016-12-12,9.0,87.9,1.5,23.9,1.9,7.0,1009.7916666666666,2016,12
KUCHING,2016-12-13,0.0,84.0,1.6,24.6,3.1,7.0,1010.1125,2016,12
KUCHING,2016-12-14,0.2,77.5,1.6,24.7,4.4,7.0,1009.9208333333332,2016,12
KUCHING,2016-12-15,0.0,76.5,1.4,24.6,5.9,7.0,1010.0083333333332,2016,12
KUCHING,2016-12-16,9.6,84.8,1.6,25.3,3.4,7.0,1010.0708333333332,2016,12
KUCHING,2016-12-17,0.2,80.3,2.0,25.2,3.7,7.0,1010.0833333333334,2016,12
KUCHING,2016-12-18,0.0,79.5,1.8,24.9,3.7,7.0,1009.7166666666668,2016,12
KUCHING,2016-12-19,0.6,80.9,1.7,24.9,4.0,7.0,1008.7,2016,12
KUCHING,2016-12-20,17.2,82.8,2.0,25.0,4.5,7.0,1008.675,2016,12
KUCHING,2016-12-21,9.6,87.9,1.7,24.8,2.7,7.0,1009.1833333333332,2016,12
KUCHING,2016-12-22,19.0,86.3,1.6,24.7,2.0,7.0,1008.6416666666668,2016,12
KUCHING,2016-12-23,22.0,90.6,1.9,24.6,2.9,7.0,1008.6541666666668,2016,12
KUCHING,2016-12-24,8.6,90.3,1.7,24.2,2.0,7.0,1008.5041666666668,2016,12
KUCHING,2016-12-25,10.8,90.6,1.7,24.1,2.2,7.1,1008.7083333333334,2016,12
KUCHING,2016-12-26,1.6,88.7,1.5,24.6,3.5,7.0,1008.3291666666668,2016,12
KUCHING,2016-12-27,56.6,90.2,1.7,24.4,3.3,7.1,1008.1833333333332,2016,12
KUCHING,2016-12-28,66.8,93.0,1.6,24.2,3.3,7.2,1009.4833333333332,2016,12
KUCHING,2016-12-29,2.0,88.8,1.9,24.3,2.0,7.1,1010.175,2016,12
