station,date,rainfall_mm,relative_humidity_percent,wind_ms,wet_bulb_c,evaporation_mm,cloud_cover_oktas,pressure_hpa,year,month_num
SIBU,2016-08-31,129.4,82.0,1.8,25.2,3.8,7.0,1010.6416666666668,2016,8
SIBU,2016-09-01,14.8,88.0,1.7,24.4,3.2,7.1,1010.6583333333332,2016,9
SIBU,2016-09-02,1.4,84.5,1.4,24.5,3.2,7.0,1010.5833333333334,2016,9
SIBU,2016-09-03,0.2,83.6,1.8,24.3,4.1,7.0,1010.2125,2016,9
SIBU,2016-09-04,1.8,82.9,1.9,24.6,3.0,7.0,1010.8291666666668,2016,9
SIBU,2016-09-05,14.8,79.8,1.5,24.6,5.1,6.9,1010.5583333333332,2016,9
SIBU,2016-09-06,8.6,87.5,1.7,24.5,3.0,7.2,1011.4833333333332,2016,9
SIBU,2016-09-07,1.0,82.9,1.7,24.6,4.6,6.9,1010.4166666666666,2016,9
SIBU,2016-09-08,52.6,93.1,1.4,23.8,2.3,7.2,1011.8291666666668,2016,9
SIBU,2016-09-09,0.6,85.3,1.7,24.0,1.8,7.0,1011.6166666666668,2016,9
SIBU,2016-09-10,0.0,83.7,1.5,25.1,2.2,7.0,1009.9,2016,9
SIBU,2016-09-11,0.0,76.4,1.4,24.4,3.7,7.0,1008.275,2016,9
SIBU,2016-09-12,0.0,87.4,1.6,24.7,2.1,7.0,1008.9958333333332,2016,9
SIBU,2016-09-13,0.0,78.0,2.0,24.9,5.4,6.9,1009.6541666666668,2016,9
SIBU,2016-09-14,2.6,85.0,1.8,23.7,3.8,7.0,1009.9666666666668,2016,9
SIBU,2016-09-15,0.0,76.5,1.9,24.3,5.2,7.0,1009.675,2016,9
SIBU,2016-09-16,0.0,77.3,1.8,24.6,4.7,7.0,1009.1791666666668,2016,9
SIBU,2016-09-17,12.6,80.3,2.0,24.5,4.8,7.0,1009.1833333333332,2016,9
SIBU,2016-09-18,39.4,84.3,2.0,24.6,5.4,7.0,1009.4,2016,9
SIBU,2016-09-19,0.0,77.0,2.1,24.9,5.1,7.0,1008.6666666666666,2016,9
SIBU,2016-09-20,1.8,70.9,2.3,24.6,5.2,6.9,1008.4583333333334,2016,9
SIBU,2016-09-21,3.4,81.8,1.6,24.4,4.2,7.0,1010.5375,2016,9
SIBU,2016-09-22,46.8,83.7,1.6,24.3,2.8,7.1,1010.3416666666668,2016,9
SIBU,2016-09-23,0.0,84.5,1.3,23.9,2.6,7.0,1009.9458333333332,2016,9
SIBU,2016-09-24,0.0,78.0,1.7,24.5,5.0,7.0,1008.2708333333334,2016,9
SIBU,2016-09-25,0.2,78.9,1.9,24.1,4.7,7.0,1008.2208333333332,2016,9
SIBU,2016-09-26,19.2,82.9,2.3,24.1,4.4,7.0,1009.1583333333332,2016,9
SIBU,2016-09-27,0.0,79.0,2.1,24.3,3.5,7.0,1009.2708333333334,2016,9
SIBU,2016-09-28,0.0,78.7,1.5,25.3,4.5,7.0,1008.9208333333332,2016,9
SIBU,2016-09-29,7.4,78.4,1.5,25.2,4.4,7.0,1008.6041666666666,2016,9
SIBU,2016-09-30,1.8,78.7,2.0,24.5,4.9,7.0,1009.1375,2016,9
SIBU,2016-10-01,6.4,77.5,2.2,24.6,5.0,7.0,1009.5958333333332,2016,10
SIBU,2016-10-02,0.0,72.6,2.1,23.9,5.7,7.0,1010.1708333333332,2016,10
SIBU,2016-10-03,72.2,69.8,2.2,24.6,5.7,7.0,1008.775,2016,10
SIBU,2016-10-04,1.4,86.3,1.5,24.0,1.7,7.2,1009.3583333333332,2016,10
SIBU,2016-10-05,2.8,76.2,1.1,25.0,4.7,7.0,1008.3666666666668,2016,10
SIBU,2016-10-06,1.4,75.6,2.3,24.5,5.3,7.0,1009.3291666666668,2016,10
SIBU,2016-10-07,45.6,76.8,2.2,23.6,4.8,7.1,1010.5541666666668,2016,10
SIBU,2016-10-08,40.0,89.4,1.9,24.2,2.7,7.2,1011.1958333333332,2016,10
SIBU,2016-10-09,0.2,85.1,1.2,23.7,2.5,7.0,1011.2375,2016,10
SIBU,2016-10-10,0.0,77.5,1.4,24.8,4.5,7.0,1009.5166666666668,2016,10
SIBU,2016-10-11,0.0,72.7,1.8,24.7,5.4,6.8,1008.7875,2016,10
SIBU,2016-10-12,0.0,69.6,2.3,24.8,5.4,6.9,1008.2625,2016,10
SIBU,2016-10-13,0.0,72.6,2.1,24.6,5.1,7.0,1007.9916666666668,2016,10
SIBU,2016-10-14,0.0,70.8,2.3,24.0,6.5,7.0,1007.9291666666668,2016,10
SIBU,2016-10-15,0.0,71.3,2.3,24.4,6.5,7.0,1008.5083333333332,2016,10
SIBU,2016-10-16,0.0,69.0,2.3,24.3,5.1,6.9,1008.0208333333334,2016,10
SIBU,2016-10-17,10.8,76.9,2.7,24.1,5.3,7.0,1007.9833333333332,2016,10
SIBU,2016-10-18,7.2,80.6,2.1,23.8,4.7,7.0,1008.4291666666668,2016,10
SIBU,2016-10-19,0.4,73.9,1.5,24.2,3.6,7.0,1007.2666666666668,2016,10
SIBU,2016-10-20,7.8,88.8,1.8,23.8,2.8,7.0,1008.0125,2016,10
SIBU,2016-10-21,4.0,82.8,2.1,24.2,5.2,7.0,1008.9625,2016,10
SIBU,2016-10-22,0.6,77.8,1.7,24.1,3.4,7.0,1009.3541666666666,2016,10
SIBU,2016-10-23,1.0,86.0,1.8,23.6,1.8,7.0,1010.2791666666668,2016,10
SIBU,2016-10-24,0.8,79.4,2.3,23.3,3.0,7.0,1009.5875,2016,10
SIBU,2016-10-25,14.2,90.5,1.7,23.1,3.6,7.3,1010.1791666666668,2016,10
SIBU,2016-10-26,16.0,82.3,2.3,23.8,3.2,7.0,1010.2583333333332,2016,10
SIBU,2016-10-27,12.2,83.3,1.7,24.2,5.2,7.1,1010.8916666666668,2016,10
SIBU,2016-10-28,1.2,85.0,1.8,24.0,3.9,7.0,1010.2833333333332,2016,10
SIBU,2016-10-29,42.8,80.3,1.5,24.3,4.7,7.0,1009.275,2016,10
SIBU,2016-10-30,0.0,85.4,1.4,23.9,3.6,7.0,1010.1166666666668,2016,10
SIBU,2016-10-31,18.0,87.0,1.9,24.6,4.2,7.0,1010.4416666666668,2016,10
SIBU,2016-11-01,22.4,82.5,1.8,24.5,4.7,7.0,1009.6916666666668,2016,11
SIBU,2016-11-02,18.8,88.5,1.1,24.1,3.7,7.0,1009.4416666666668,2016,11
