date,rainfall_mm,relative_humidity_percent,wind_ms,wet_bulb_c,evaporation_mm,cloud_cover_oktas,pressure_hpa
1/1/2024,5.2,82.1,1.9,24.6,4.2,6,1010.3
1/2/2024,0,79.8,2.3,24.1,4.8,5,1011
1/3/2024,12.6,85.2,1.6,25,3.5,7,1009.8
1/4/2024,4.2,81,2,24.4,4.5,6,1010.5
1/5/2024,0,78.5,2.5,23.9,5.2,4,1011.8
1/6/2024,2.1,80.4,2.2,24,4.9,5,1011.2
1/7/2024,9.8,84.1,1.7,24.7,3.8,6,1010
1/8/2024,0.4,81.2,2,24.3,4.6,5,1010.8
1/9/2024,15.3,86.5,1.5,25.2,3.2,7,1009.4
1/10/2024,8.5,84.6,1.9,25,3.9,6,1009.8
1/11/2024,0,77.9,2.6,23.7,5.4,4,1012
1/12/2024,1.2,79.3,2.4,24,5,5,1011.4
1/13/2024,22.4,87,1.6,25.6,2.8,7,1008.7
1/14/2024,3.5,82.6,1.9,24.6,4.1,6,1010.2
1/15/2024,0,78.2,2.7,23.8,5.6,4,1012.3
1/16/2024,7.1,83.5,1.8,24.9,4,6,1010
1/17/2024,18.6,86.8,1.6,25.4,3.1,7,1009.1
1/18/2024,10.3,85.1,1.7,25.1,3.6,6,1009.6
1/19/2024,0,79.5,2.3,24.1,4.9,5,1011
1/20/2024,2.8,81,2.1,24.4,4.7,5,1010.6
1/21/2024,27.9,87.9,1.5,25.9,2.6,7,1008.4
1/22/2024,6.7,83.1,1.9,24.8,4.2,6,1010.1
1/23/2024,0,78.8,2.5,23.9,5.3,4,1011.9
1/24/2024,1.9,80.2,2.2,24.2,4.8,5,1011.2
1/25/2024,14.5,86,1.6,25.3,3.3,7,1009.5
1/26/2024,58.2,92.5,1.1,27.4,1.8,8,1006.5
1/27/2024,72.1,94.8,0.9,28.1,1.2,8,1005.1
1/28/2024,89.5,96.2,0.8,28.9,0.7,8,1004.2
1/29/2024,105.4,97.9,0.7,29.3,0.3,8,1003
1/30/2024,125.8,99.1,0.5,29.9,0.1,8,1001.4
